"basisOfRecord","date_year","decimalLatitude","decimalLongitude","eventDate","individualCount","scientificName","id","especie_normalizada","decada"
"HumanObservation",2023,70.2662315984,31.0878208334,"2023-06-23T17:26:00+02:00",NA,"Rissa tridactyla","000520d1-6149-4653-a2c1-aec08be9368a","Rissa tridactyla",2020
"HumanObservation",2023,64.8959927783,-23.700686945,"2023-07-14T18:16:00+00:00",NA,"Rissa tridactyla","002cc982-f0c0-48b0-b958-8c48c3c42904","Rissa tridactyla",2020
"HumanObservation",2023,64.171961993,-21.9698882103,"2023-06-01T13:38:56+00:00",NA,"Fratercula arctica","0033a903-0f15-4377-b0e3-a4296ad91d43","Fratercula arctica",2020
"HumanObservation",2023,62.5749921175,5.7141126927,"2023-05-30T12:11:00+02:00",NA,"Fratercula arctica","0058e37e-3af1-498c-b15c-1865be24e6d7","Fratercula arctica",2020
"HumanObservation",2023,70.2856451866,31.0198979955,"2023-03-24T11:28:00+01:00",NA,"Rissa tridactyla","0078f038-61a5-4360-b8d7-d17e3612221e","Rissa tridactyla",2020
"HumanObservation",2023,65.5007822217,-24.5277847217,"2023-07-16T13:40:00+00:00",NA,"Fratercula arctica","007bb699-5d22-4787-988a-c4c46b79cb1e","Fratercula arctica",2020
"HumanObservation",2023,70.9509196776,25.245383131,"2023-07-17T09:57:00+02:00",NA,"Fratercula arctica","007fb350-72cc-4b5c-a967-fe978f427aac","Fratercula arctica",2020
"HumanObservation",2023,66.1902531908,-17.5996958081,"2023-06-06T07:26:00+00:00",NA,"Fratercula arctica","00a194e2-9e1d-4648-884d-c24fad01624c","Fratercula arctica",2020
"HumanObservation",2023,70.2745331434,31.1782653698,"2023-06-23T14:53:00+02:00",NA,"Rissa tridactyla","00aad296-3f47-421d-9318-1ef1fe1e46c6","Rissa tridactyla",2020
"HumanObservation",2023,71.1581565482,25.1048486041,"2023-07-28T11:44:42+02:00",NA,"Fratercula arctica","010bf01b-e39c-43e7-aa2f-3bfcd438ffca","Fratercula arctica",2020
"HumanObservation",2023,65.5383750811,-13.7547109389,"2023-06-05T17:14:00+00:00",NA,"Fratercula arctica","015ef741-ec4f-4fee-bafd-afc94a5d63f5","Fratercula arctica",2020
"HumanObservation",2023,64.7516429867,-23.6450850065,"2023-07-06T10:01:00+00:00",NA,"Rissa tridactyla","019fa7ba-c3a0-4780-a613-f708cf16e4ac","Rissa tridactyla",2020
"HumanObservation",2023,64.1726863425,-10.9614505953,"2023-10-03T09:29:00-01:00",NA,"Rissa tridactyla","01d80f74-84e8-439b-83be-7c02dcdcc113","Rissa tridactyla",2020
