basisOfRecord,date_year,decimalLatitude,decimalLongitude,eventDate,individualCount,scientificName,id,especie_normalizada,decada,traffic_at_point,traffic_buffer_mean,iucn_status,traffic_normalized,criticality_score,is_critical
HumanObservation,2023,64.0902424974,-21.9300654174,2023-07-03T16:40:00+00:00,,Rissa tridactyla,614e43dd-3063-464d-b762-4285842cd510,Rissa tridactyla,2020,0.0244711209088563,223.41986083984372,VU,1.0,2.0,True
HumanObservation,2023,64.0902424974,-21.9300654174,2023-07-03T16:41:00+00:00,,Fratercula arctica,3b1d160b-ef38-40dc-9ada-1f8b90da9452,Fratercula arctica,2020,0.0244711209088563,223.41986083984372,VU,1.0,2.0,True
HumanObservation,2023,64.0676160412,-21.9713795193,2023-02-24T15:46:00+00:00,,Rissa tridactyla,fd3b5e2d-5b6a-498b-95ed-1ae3fa367551,Rissa tridactyla,2020,5469.10107421875,218.4965057373047,VU,0.9779636640895221,1.9559273281790441,True
HumanObservation,2023,65.6851666667,-18.0743778333,2023-05-25T19:13:09+00:00,,Rissa tridactyla,c5af8c1c-31f8-4ae8-bd91-b24fd3c37ee2,Rissa tridactyla,2020,1378.814453125,201.0157623291016,VU,0.8997219923666397,1.7994439847332795,True
HumanObservation,2023,64.1552218278,-21.8586389831,2023-05-23T09:57:00+00:00,,Rissa tridactyla,c69b512d-750f-4dac-b4a9-3d50f8903d61,Rissa tridactyla,2020,1861.67529296875,190.0513610839844,VU,0.8506466720083619,1.7012933440167237,True
HumanObservation,2023,57.6977268897,11.608878724,2023-10-14T11:29:48+02:00,,Rissa tridactyla,03c1714b-303e-4a24-aa21-98064563e0bc,Rissa tridactyla,2020,3.2613418102264404,169.90647888183594,VU,0.7604806405444486,1.5209612810888973,True
HumanObservation,2023,57.6973328678,11.6085908729,2023-10-14T12:26:02+02:00,,Fratercula arctica,a2a3f4b3-bd7b-4cdc-a9fe-8963ffc51926,Fratercula arctica,2020,3.2613418102264404,169.90647888183594,VU,0.7604806405444486,1.5209612810888973,True
HumanObservation,2023,64.1458772871,-21.9252517123,2023-06-01T13:15:35+00:00,,Fratercula arctica,90f9e33c-313c-44d1-9b1d-34d186114857,Fratercula arctica,2020,3365.009765625,160.023681640625,VU,0.7162464475588245,1.432492895117649,True
HumanObservation,2023,64.1500638542,-21.9528357322,2023-05-30T19:51:00+00:00,,Fratercula arctica,24baea47-ceab-4205-94f6-8bbcba2a441e,Fratercula arctica,2020,0.872020423412323,152.88433837890625,VU,0.684291619394123,1.368583238788246,True
HumanObservation,2023,64.176098718,-21.8848326271,2023-07-23T22:11:12+00:00,,Fratercula arctica,adcc08c0-8258-4ea3-adeb-7a85d3b72456,Fratercula arctica,2020,16.68599510192871,126.24374389648438,VU,0.5650515734005445,1.130103146801089,True
HumanObservation,2023,64.895504814,-23.702979196,2023-05-30T19:51:00+00:00,,Rissa tridactyla,36260fe6-0773-4c69-9fc3-3244edfdd851,Rissa tridactyla,2020,15330.7607421875,126.02384185791016,VU,0.5640673187432028,1.1281346374864056,True
HumanObservation,2023,64.8959927783,-23.700686945,2023-07-14T18:16:00+00:00,,Rissa tridactyla,002cc982-f0c0-48b0-b958-8c48c3c42904,Rissa tridactyla,2020,15330.7607421875,126.02384185791016,VU,0.5640673187432028,1.1281346374864056,True
HumanObservation,2023,64.1708372101,-21.9000714615,2023-06-22T13:03:00+00:00,,Fratercula arctica,54a68f49-8454-4d64-9941-2ceeab310e31,Fratercula arctica,2020,24.13456916809082,122.48162078857422,VU,0.5482127700203606,1.0964255400407212,True
HumanObservation,2023,64.1724289489,-21.9245684333,2023-06-01T13:18:19+00:00,,Fratercula arctica,25a0ed3e-ab6e-4432-a9ac-46d7f0095fde,Fratercula arctica,2020,13.033811569213867,119.03760528564452,VU,0.532797777414137,1.065595554828274,True
HumanObservation,2023,64.1720045312,-21.9246430323,2023-06-01T13:14:24+00:00,,Fratercula arctica,1fc96007-c0dc-4887-beeb-fe777e013e0b,Fratercula arctica,2020,13.033811569213867,119.03760528564452,VU,0.532797777414137,1.065595554828274,True
