basisOfRecord,date_year,decimalLatitude,decimalLongitude,eventDate,individualCount,scientificName,id,especie_normalizada,decada,traffic_at_point,traffic_buffer_mean
HumanObservation,2023,64.8959927783,-23.700686945,2023-07-14T18:16:00+00:00,,Rissa tridactyla,002cc982-f0c0-48b0-b958-8c48c3c42904,Rissa tridactyla,2020,15330.7607421875,126.02384185791016
HumanObservation,2023,64.171961993,-21.9698882103,2023-06-01T13:38:56+00:00,,Fratercula arctica,0033a903-0f15-4377-b0e3-a4296ad91d43,Fratercula arctica,2020,43.554161071777344,94.5106201171875
HumanObservation,2023,62.5749921175,5.7141126927,2023-05-30T12:11:00+02:00,,Fratercula arctica,0058e37e-3af1-498c-b15c-1865be24e6d7,Fratercula arctica,2020,1.4721359014511108,2.0275838375091553
HumanObservation,2023,65.5007822217,-24.5277847217,2023-07-16T13:40:00+00:00,,Fratercula arctica,007bb699-5d22-4787-988a-c4c46b79cb1e,Fratercula arctica,2020,0.21914801001548767,0.7743099331855774
HumanObservation,2023,66.1902531908,-17.5996958081,2023-06-06T07:26:00+00:00,,Fratercula arctica,00a194e2-9e1d-4648-884d-c24fad01624c,Fratercula arctica,2020,0.22964884340763092,1.0714818239212036
HumanObservation,2023,65.5383750811,-13.7547109389,2023-06-05T17:14:00+00:00,,Fratercula arctica,015ef741-ec4f-4fee-bafd-afc94a5d63f5,Fratercula arctica,2020,3972.853759765625,16.466697692871094
HumanObservation,2023,64.7516429867,-23.6450850065,2023-07-06T10:01:00+00:00,,Rissa tridactyla,019fa7ba-c3a0-4780-a613-f708cf16e4ac,Rissa tridactyla,2020,0.33879104256629944,8.386506080627441
HumanObservation,2023,64.1726863425,-10.9614505953,2023-10-03T09:29:00-01:00,,Rissa tridactyla,01d80f74-84e8-439b-83be-7c02dcdcc113,Rissa tridactyla,2020,0.003638319903984666,0.017900077626109123
HumanObservation,2023,63.4141998291,-19.007610321,2023-02-11T18:04:21+00:00,,Fratercula arctica,0220d6fa-10ac-4d91-8cf5-caac54adeddf,Fratercula arctica,2020,0.0,0.834265947341919
HumanObservation,2023,60.0032324928,-1.2205738185,2023-01-01T11:13:00+00:00,,Rissa tridactyla,026fe630-bbb3-45d5-ae0b-fff0344ba4be,Rissa tridactyla,2020,0.12288567423820496,2.9996299743652344
