cell_id,richness
37,2
100,2
162,2
225,1
350,2
353,2
412,3
417,1
467,1
474,1
475,1
486,1
487,1
488,2
489,1
491,1
492,2
493,1
537,2
549,1
550,1
551,3
552,2
553,2
554,2
555,3
556,1
558,3
559,1
595,1
599,1
612,2
613,2
614,3
615,1
617,3
618,3
619,1
621,2
658,1
672,1
675,2
676,2
677,1
679,1
681,2
682,2
683,2
685,1
735,2
736,2
737,1
739,1
744,1
745,1
748,1
751,1
796,1
797,1
798,2
800,1
810,1
811,1
812,1
813,1
860,2
861,1
872,1
874,2
875,1
878,1
879,1
922,1
923,1
934,1
937,3
943,1
985,1
987,2
996,1
1000,1
1050,1
1053,1
1054,2
1055,2
1060,1
1070,1
1112,1
1113,1
1115,1
1116,1
1122,2
1123,2
1168,1
1175,1
1176,1
1180,1
1181,1
1186,1
1238,1
1242,1
1246,2
1247,3
1248,4
1249,2
1287,2
1301,1
1302,1
1310,2
1311,3
1312,1
1313,1
1357,1
1358,1
1373,4
1374,3
1375,2
1376,2
1412,3
1427,2
1435,1
1436,2
1437,1
1438,1
1474,1
1475,1
1483,1
1487,2
1491,2
1495,1
1498,1
1500,2
1501,2
1505,1
1537,1
1554,2
1562,2
1563,2
1566,1
1596,1
1599,1
1618,2
1619,2
1620,2
1624,1
1625,2
1682,1
1683,2
1684,2
1688,2
1741,1
1742,2
1744,1
1746,1
1747,1
1787,1
1814,1
1815,1
1849,1
1850,1
1865,1
1926,1
1974,1
2027,1
2050,1
2094,1
2106,1
2107,2
2110,1
2152,3
2153,2
2156,1
2166,1
2167,1
2168,2
2169,2
2170,2
2216,2
2231,1
2232,2
2233,2
2296,1
2341,1
2344,2
2405,2
2467,2
2468,2
2469,3
2470,2
2531,3
2532,3
2533,3
2595,1
2596,3
2597,1
2600,1
2614,1
2623,1
2662,1
2665,1
2723,2
2726,1
2742,1
2787,2
2788,2
2789,3
2790,1
2851,3
2852,1
2853,1
2857,1
2917,1
2919,1
3316,1
3531,1
3665,1
3732,1
3787,1
3804,2
3805,2
3806,1
3848,1
3849,1
3867,1
3868,2
3869,1
3930,1
3931,1
3996,1
4059,1
4060,1
4061,1
4120,1
4122,1
4123,1
4159,1
4222,1
4349,1
4350,2
4379,1
4380,1
4411,1
4477,2
4545,1
4546,1
4572,1
4583,1
4603,2
4606,1
4646,2
4700,1
4703,1
4704,2
4710,2
4711,1
4767,1
4772,1
4773,1
4774,3
4835,1
4836,1
4837,1
4897,1
4960,1
5024,1
6507,1
