especie_normalizada,n_occurrences,mean_traffic_at_point,year
Balaenoptera musculus,2,1.4923450648784637,2017
Balaenoptera physalus,4,0.08757282653823495,2017
Fratercula arctica,117,447.1456739761661,2017
Physeter macrocephalus,4,3.7240558117628098,2017
Rissa tridactyla,70,450.0314020832831,2017
Balaenoptera musculus,5,6.88406548500061,2018
Balaenoptera physalus,5,105.07437868714332,2018
Fratercula arctica,179,247.1396760864821,2018
Physeter macrocephalus,3,1.9855903784434001,2018
Rissa tridactyla,53,494.01423804983494,2018
Balaenoptera musculus,20,4.686368757486344,2019
Balaenoptera physalus,1,0.004248595330864191,2019
Fratercula arctica,144,220.4935258220517,2019
Physeter macrocephalus,5,2.8449505984783174,2019
Rissa tridactyla,89,504.0837190125077,2019
Balaenoptera musculus,1,0.0,2020
Balaenoptera physalus,18,0.08942349841688862,2020
Fratercula arctica,49,235.7304414886897,2020
Physeter macrocephalus,2,0.0,2020
Rissa tridactyla,35,1904.0677789071779,2020
Balaenoptera physalus,11,5.127940839529037,2021
Fratercula arctica,136,665.9138933510075,2021
Physeter macrocephalus,3,0.8554434776306152,2021
Rissa tridactyla,61,1154.0060367609065,2021
Balaenoptera musculus,2,11.151642441749573,2022
Balaenoptera physalus,2,1.5187745541334152,2022
Fratercula arctica,343,933.3143311713196,2022
Physeter macrocephalus,12,1.5814406986319227,2022
Rissa tridactyla,229,601.0562546630591,2022
Balaenoptera musculus,19,5.9840097686177804,2023
Balaenoptera physalus,3,1.5889280637105305,2023
Fratercula arctica,299,804.1915859851753,2023
Physeter macrocephalus,8,1.5066490485332906,2023
Rissa tridactyla,168,942.7253915895949,2023
Balaenoptera musculus,14,5.086690604686737,2024
Balaenoptera physalus,4,0.0695546823553741,2024
Fratercula arctica,401,404.96624127134777,2024
Physeter macrocephalus,18,1.230874906239264,2024
Rissa tridactyla,232,739.4108462562065,2024
